Asset,Network
1001,101
1002,102
1003,103
1004,104
1005,105
1006,106
1007,107
1008,108
1009,109
1010,110
1011,111
1012,112
1013,113
1014,114
1015,115
1016,116
1017,117
1018,118
1019,119
1020,120
1021,121
1022,122
1023,123
1024,124
1025,125
1026,126
1027,127
1028,128
1029,129
1030,130
1031,131
1032,132
1033,133
1034,134
1035,135
1036,136
1037,137
1038,138
1039,139
1040,140
1041,141
1042,142
1043,143
1044,144
1045,145
1046,146
1047,147
1048,148
1049,149
1050,150
1051,151
1052,152
1053,153
1054,154
1055,155
1056,156
1057,157
1058,158
1059,159
1060,160
1061,161
1062,162
1063,163
1064,164
1065,165
1066,166
1067,167
1068,168
1069,169
1070,170
1071,171
1072,172
1073,173
1074,174
1075,175
1076,176
1077,177
1078,178
1079,179
1080,180
1081,181
1082,182
1083,183
1084,184
1085,185
1086,186
1087,187
1088,188
1089,189
1090,190
1091,191
1092,192
1093,193
1094,194
1095,195
1096,196
1097,197
1098,198
1099,199
